claveCarrera,nombre,nombreCorto
5073200005,Ingenieria Civil / 2010 /,CIVIL
5071300028,Ingenieria Electromecanica / 2010 /,ELECTROMECANICA
5073200005,Ingenieria Electronica / 2010 /,ELECTRONICA
5052300003,Ingenieria En Geociencias / 2010 / Escolarizado,GEOCIENCIAS
5042100050,Ingenieria En Gestion Empresarial / 2009 / Escolarizado,GESTION ESC
5042100134,Ingenieria En Gestion Empresarial Mixto / 2012 / Abierto,GESTION MIX
5061300046,Ingenieria En Sistemas Computacionales / 2010 / Escolarizado,SISTEMAS
508130008,Ingenieria Forestal / 2010 / Escolarizado,FORESTAL
5071700019,Ingenieria Industrial / 2010 / Escolarizado,INDUSTRIAL
5072400017,Ingenieria Petrolera / 2010 /,PETROLERA
